Coin,Classification,mean_pnl,win_rate,n_trades
INJ,Greed,19.7715475625,0.3125,16
INJ,Neutral,9.9871605,1.0,2
IO,Extreme Fear,0.19453333333333334,1.0,3
IO,Extreme Greed,-0.561392603448276,0.15517241379310345,58
IO,Fear,0.0,0.0,4
IO,Greed,-102.23778857943925,0.09813084112149532,214
IO,Neutral,0.0,0.0,5
IP,Fear,-14.695970102564102,0.0,39
JELLY,Greed,93.2981702972973,0.8243243243243243,74
JTO,Fear,5.619,0.25,4
JUP,Extreme Fear,1.7732933333333332,0.16666666666666666,12
JUP,Extreme Greed,24.34301142857143,0.9428571428571428,35
JUP,Fear,12.831471496296297,0.5407407407407407,135
JUP,Greed,0.8142602105263158,0.10526315789473684,19
KAITO,Fear,0.0,0.0,4
LDO,Extreme Greed,0.8279569285714284,0.14285714285714285,14
LDO,Fear,1.9189546,0.7,10
LDO,Greed,0.778341230769231,0.23076923076923078,13
LDO,Neutral,7.255204,1.0,4
LINK,Extreme Fear,0.0,0.0,2
LINK,Extreme Greed,5.57405388888889,0.14814814814814814,27
LINK,Fear,9.856434568627451,0.5294117647058824,51
LINK,Greed,-0.7702414117647056,0.4411764705882353,34
LINK,Neutral,2.7997005294117647,0.5882352941176471,17
LTC,Extreme Greed,0.0,0.0,2
LTC,Fear,0.0,0.0,6
LTC,Greed,1.0240274285714286,0.3333333333333333,21
LTC,Neutral,11.59064075,1.0,8
MANTA,Extreme Greed,0.0,0.0,2
MANTA,Fear,81.4507824,0.8666666666666667,15
MANTA,Greed,0.17234285714285713,0.21428571428571427,14
MANTA,Neutral,9.736050800000001,1.0,5
MATIC,Extreme Greed,4.8144522,0.4,10
MATIC,Greed,19.0622432,0.8,5
MATIC,Neutral,-22.504072416666663,0.0,12
MAV,Extreme Greed,0.00945,0.5,2
ME,Extreme Greed,276.702671,0.8,10
ME,Fear,109.29139152380952,0.7619047619047619,126
ME,Greed,129.324803,0.6666666666666666,6
MELANIA,Extreme Fear,0.0,0.0,27
MELANIA,Fear,92.47889110236221,0.15748031496062992,127
MELANIA,Greed,99.3216904691358,0.08641975308641975,81
MEME,Extreme Greed,62.15541551219513,0.4634146341463415,41
MEME,Fear,36.026332000000004,0.13333333333333333,15
MEME,Greed,0.0,0.0,1
MERL,Fear,-1.58682,0.0,2
MEW,Extreme Fear,0.0,0.0,1
MOODENG,Extreme Fear,0.0,0.0,3
MOODENG,Extreme Greed,2.1463252,0.25,60
MOODENG,Greed,531.6550300666667,0.6333333333333333,30
MOVE,Neutral,0.0,0.0,1
MYRO,Greed,3.9381946153846155,0.9230769230769231,13
NEAR,Extreme Fear,0.0,0.0,1
NEAR,Extreme Greed,6.28884,0.5,2
NEAR,Fear,89.51634793103449,0.9137931034482759,58
NEAR,Greed,155.419485,0.8461538461538461,13
NEIROETH,Extreme Fear,0.0,0.0,1
NTRN,Extreme Greed,0.0,0.0,1
NTRN,Fear,23.63072375,0.625,8
NTRN,Neutral,-11.486743692307694,0.038461538461538464,26
ONDO,Fear,8.578899682692308,0.2403846153846154,104
ONDO,Greed,51.39194451724138,0.9310344827586207,58
ONDO,Neutral,2.3714,1.0,1
OP,Extreme Fear,0.0,0.0,1
OP,Fear,0.49946,0.038461538461538464,26
OP,Greed,37.45262125,0.890625,64
ORDI,Extreme Greed,0.9154823999999999,0.4,5
ORDI,Greed,1.7094210476190475,0.42857142857142855,21
PENDLE,Extreme Fear,2.8354831666666667,0.2222222222222222,18
PENDLE,Extreme Greed,63.3942,0.5,2
PENDLE,Fear,14.897283755102041,0.5102040816326531,147
PENDLE,Greed,15.36253925203252,0.5040650406504065,123
PENGU,Extreme Fear,2.7140675454545455,1.0,11
PENGU,Fear,2.3176501315789473,0.5263157894736842,38
PENGU,Greed,13.698994173913043,0.30434782608695654,46
PENGU,Neutral,0.05983497872340425,0.06382978723404255,47
PEOPLE,Greed,360.646005,1.0,1
PNUT,Extreme Fear,0.0,0.0,1
PNUT,Extreme Greed,449.7202894736842,0.5263157894736842,19
POLYX,Greed,44.15240592857143,0.9285714285714286,14
POPCAT,Extreme Fear,0.0,0.0,1
POPCAT,Greed,-3.3748,0.0,4
PURR,Extreme Fear,-0.6542308484848485,0.0,33
PURR,Extreme Greed,92.57399725,0.3333333333333333,12
PURR,Fear,29.219232640350878,0.9122807017543859,114
PURR,Greed,13.881734246913581,0.41975308641975306,81
PURR,Neutral,10.17437800819672,0.8934426229508197,122
PURR/USDC,Extreme Fear,0.0,0.0,20
PURR/USDC,Extreme Greed,36.90202229565217,0.6,115
PURR/USDC,Fear,37.17418789473684,0.5394736842105263,152
PURR/USDC,Greed,12.893795774038463,0.34615384615384615,208
PURR/USDC,Neutral,21.367161636363637,0.7272727272727273,44
RENDER,Fear,1.7698066666666665,0.6666666666666666,3
RENDER,Greed,24.26428574698795,0.5240963855421686,166
RNDR,Extreme Greed,1.1054079411764706,0.5882352941176471,34
RNDR,Fear,23.8459,0.5,2
RNDR,Greed,49.184,0.9666666666666667,30
RSR,Extreme Fear,6.158762153846154,0.7307692307692307,26
RUNE,Extreme Greed,16.494624454545455,0.45454545454545453,11
RUNE,Fear,13.916395099999999,0.8,20
RUNE,Greed,-4.529566575342467,0.5205479452054794,73
RUNE,Neutral,-3.2806303,0.2,20
S,Fear,-74.50552482758621,0.31896551724137934,116
SAND,Extreme Fear,0.0,0.0,3
SAND,Extreme Greed,5.678755666666667,0.3333333333333333,6
SAND,Fear,-1.8775549999999999,0.0,8
SAND,Greed,2.2102825,0.375,8
SEI,Greed,0.0008625,0.25,4
SOL,Extreme Fear,1.6599264257425743,0.04950495049504951,101
SOL,Extreme Greed,39.156017548387105,0.41935483870967744,31
SOL,Fear,760.9600215939226,0.45119705340699817,1086
SOL,Greed,328.15728086172345,0.6492985971943888,499
SOL,Neutral,25.32575,0.3333333333333333,3
SPX,Fear,146.943567,0.9285714285714286,14
STRK,Extreme Greed,1.0111153750000001,0.5,8
STRK,Fear,1.9329928571428572,0.7142857142857143,7
STRK,Greed,0.9426351111111111,0.5555555555555556,9
STRK,Neutral,12.23445825,1.0,4
STX,Greed,5.048741466666667,0.4666666666666667,15
SUI,Extreme Fear,0.46591875,0.125,8
SUI,Extreme Greed,20.0807775,0.3333333333333333,36
SUI,Fear,8.619289572519083,0.183206106870229,131
SUI,Greed,6.568039235849057,0.3490566037735849,106
SUI,Neutral,1.0311284615384615,0.19230769230769232,26
SUPER,Extreme Fear,0.0,0.0,3
SUSHI,Extreme Fear,0.0,0.0,1
SUSHI,Extreme Greed,0.42647273170731725,0.14634146341463414,41
SUSHI,Fear,12.422855923076924,0.38461538461538464,13
SUSHI,Neutral,19.1392078125,0.625,16
TAO,Extreme Fear,0.0,0.0,1
TAO,Extreme Greed,9.504275,1.0,1
TAO,Fear,60.744572407894736,0.5526315789473685,76
TAO,Greed,0.068324,1.0,1
TAO,Neutral,85.55166772727273,0.7727272727272727,22
TIA,Extreme Fear,0.0,0.0,1
TIA,Extreme Greed,37.3544,0.2,10
TIA,Fear,-14.400045913043481,0.391304347826087,23
TIA,Greed,46.348866480000005,0.52,25
TIA,Neutral,11.077836000000001,1.0,2
TNSR,Extreme Greed,3.3457289304812834,0.47058823529411764,187
TNSR,Fear,2.8750875189873417,0.27848101265822783,79
TNSR,Greed,14.68214812096774,0.5161290322580645,124
TRUMP,Fear,1.82115,0.5,2
TRUMP,Greed,0.0,0.0,34
TRX,Extreme Greed,1.9925196338028166,0.08450704225352113,71
TRX,Greed,58.74362333333334,0.5555555555555556,9
TURBO,Extreme Greed,258.32658,0.5862068965517241,29
TURBO,Fear,0.14074350000000002,0.375,8
TURBO,Greed,3.2250725555555553,0.3333333333333333,9
TURBO,Neutral,10.90697425,0.5833333333333334,12
UNI,Extreme Fear,0.0,0.0,1
UNI,Extreme Greed,1.6169166000000001,0.4,5
UNI,Greed,6.780842,0.5,2
USTC,Greed,0.0,0.0,1
USUAL,Fear,711.2737468095238,0.31746031746031744,63
USUAL,Greed,759.7911534285714,0.47619047619047616,21
VINE,Fear,-0.32676517307692293,0.20192307692307693,104
VINE,Greed,21.469322337662337,0.24675324675324675,77
VIRTUAL,Extreme Fear,22.392653,0.4,5
VIRTUAL,Fear,0.0,0.0,3
VIRTUAL,Greed,0.41209999999999997,0.08333333333333333,24
VIRTUAL,Neutral,-0.5523530769230769,0.46153846153846156,13
VVV,Fear,37.09277323809523,0.9285714285714286,42
W,Extreme Fear,0.0,0.0,1
W,Extreme Greed,3.1505485,0.4444444444444444,36
W,Fear,0.8213724867924528,0.30943396226415093,265
W,Greed,3.4589361666666663,0.4166666666666667,48
WIF,Extreme Fear,0.0,0.0,1
WIF,Extreme Greed,60.77297940540541,0.9459459459459459,37
WIF,Fear,37.408035500000004,0.7619047619047619,42
WIF,Greed,41.49269826415094,0.5377358490566038,106
WIF,Neutral,91.15532857142857,0.9285714285714286,28
WLD,Extreme Fear,0.0,0.0,5
WLD,Extreme Greed,63.47915875949367,0.6455696202531646,79
WLD,Fear,28.23429263934426,0.39344262295081966,122
WLD,Greed,15.906813975155279,0.34782608695652173,161
WLD,Neutral,0.6643394680851064,0.3617021276595745,47
XAI,Extreme Greed,6.143474250000001,0.75,4
XAI,Fear,262.4099775,0.75,4
XRP,Extreme Fear,1.5871336,0.2,15
XRP,Extreme Greed,-1.1862653728813561,0.2542372881355932,59
XRP,Fear,14.34682678504673,0.6728971962616822,107
XRP,Greed,0.1600381666666666,0.3125,96
XRP,Neutral,11.49433292,0.6,25
YGG,Extreme Fear,0.0,0.0,1
YGG,Extreme Greed,0.496713,0.25,4
YGG,Fear,68.48452357142858,0.8571428571428571,14
ZEREBRO,Extreme Fear,0.0,0.0,1
ZEREBRO,Fear,8.423362385964912,0.9649122807017544,57
ZEREBRO,Neutral,19.98317,1.0,2
ZETA,Extreme Fear,0.0,0.0,1
ZETA,Extreme Greed,-2.772696,0.0,5
ZETA,Greed,54.89228833333333,0.9583333333333334,24
ZK,Extreme Greed,0.0,0.0,4
ZK,Fear,1.9065486249999999,0.75,16
ZK,Greed,0.4114,0.25,4
ZK,Neutral,9.974127,1.0,2
ZRO,Extreme Fear,0.0,0.0,1
ZRO,Greed,0.0,0.0,1
kBONK,Extreme Fear,0.0,0.0,7
kBONK,Extreme Greed,43.154500282608694,0.717391304347826,46
kBONK,Fear,23.753011346153848,0.46153846153846156,26
kBONK,Greed,83.05376987437187,0.9045226130653267,199
kBONK,Neutral,106.55998658585858,0.9191919191919192,99
kPEPE,Extreme Fear,-0.24755739130434784,0.0,23
kPEPE,Extreme Greed,-7.064131285714287,0.30158730158730157,63
kPEPE,Fear,40.951040524390244,0.7682926829268293,82
kPEPE,Greed,74.77778856666667,0.6666666666666666,90
kPEPE,Neutral,87.18766658181819,0.8545454545454545,55
kSHIB,Extreme Greed,-3.9824881999999997,0.4,10
kSHIB,Fear,0.0,0.0,1
kSHIB,Greed,0.0,0.0,3
